ticker,Date,close,high,low,open,volume,ret_1d
,,ijr,ijr,ijr,ijr,ijr,
IJR,2024-11-21,120.57722473144531,120.9497976129871,118.93984744284008,119.17516371781228,3650800,
IJR,2024-11-22,122.6067886352539,122.9107294926421,120.86155981323223,121.09687610314458,3141900,0.01683206682131666
IJR,2024-11-25,124.89124298095703,126.09721449477777,123.8519556870016,124.02843914072339,5004800,0.01863236425267778
IJR,2024-11-26,123.68529510498047,124.35200963054383,123.02838729488586,124.15591272282981,4767700,-0.009655984256321637
IJR,2024-11-27,123.75392150878906,125.37168539207374,123.64607008454797,124.35200395945996,2964300,0.0005548469100578046
IJR,2024-11-29,124.057861328125,125.00891070840675,123.84215848142212,124.52848640096146,1940500,0.0024560015200354446
IJR,2024-12-02,124.35200500488281,124.70497194530618,123.10681399829704,124.07747682462727,6416300,0.002371020051521233
IJR,2024-12-03,123.43035888671875,124.58730433004568,123.05778602475395,124.23433741646585,3030500,-0.007411590332844886
IJR,2024-12-04,123.86177825927734,124.10689378303259,122.95975492713778,123.44017925920505,4264700,0.0034952452253220745
IJR,2024-12-05,122.07733917236328,123.70490238201438,121.95968102647328,123.4794002861405,2987300,-0.014406696819568743
IJR,2024-12-06,122.0871353149414,123.03818473254701,121.69495646590705,122.91072735464405,3519600,8.024538087525457e-05
IJR,2024-12-09,121.9400634765625,123.50880120421436,121.87143143473808,122.695015936631,2767200,-0.0012046464846563465
IJR,2024-12-10,121.5086669921875,122.47932236583011,120.88117185363753,122.08713603415335,3667600,-0.0035377748057177083
IJR,2024-12-11,122.23419952392578,122.90091400375233,121.75377522356494,122.59697316806123,3558500,0.005971035233107491
IJR,2024-12-12,121.25373077392578,122.25380617840888,121.1360801242204,121.95966459348297,2990300,-0.00802123099606089
IJR,2024-12-13,120.4301528930664,121.29295678620947,119.73402574967854,121.2243247433496,2926400,-0.006792185903087056
IJR,2024-12-16,120.8615493774414,121.36158709991413,119.91050750574244,120.14581629500486,4468700,0.0035821301726490784
IJR,2024-12-17,119.15746307373047,120.62206344653994,118.9991238171936,120.20643422317764,4515200,-0.01409949080157169
IJR,2024-12-18,114.30843353271484,120.17674825176161,113.59592197390498,119.96893363878063,5755000,-0.04069429992828244
IJR,2024-12-19,113.8927993774414,116.14908854893457,113.63550940308633,115.18917754067397,6162000,-0.0036360760306848317
IJR,2024-12-20,114.62510681152344,115.96106223624344,112.94278614147883,113.42769446492069,5225400,0.00642979572093183
IJR,2024-12-23,114.42718505859375,114.73396549496543,113.44748540058117,114.35791351812885,3856400,-0.0017266876204977688
IJR,2024-12-24,115.38710021972656,115.47616794639218,113.93239026778743,114.54594361249218,1342800,0.00838887333146654
IJR,2024-12-26,116.16888427734375,116.35691027396099,114.34802796284922,114.78344585760156,2905600,0.006775315924643754
IJR,2024-12-27,114.59542846679688,116.06992707744858,113.64540793305439,115.38710217820619,2962200,-0.013544554725948621
IJR,2024-12-30,113.77405548095703,114.37771071752894,112.50737155832473,113.73447066462082,5050500,-0.007167589465210011
IJR,2024-12-31,114.02144622802734,115.20896042745618,113.72456390315456,114.40738872034326,4369600,0.0021744038746314143
IJR,2025-01-02,113.77405548095703,115.58502119067276,113.20998506072135,114.86261150509218,4150100,-0.0021696861007670654
IJR,2025-01-03,115.02095031738281,115.19907821517835,113.4276973287761,114.2094804607658,4248300,0.010959395190360155
IJR,2025-01-06,115.01105499267578,116.31732375792424,114.79334227346239,115.6048121496011,4338800,-8.603062902645675e-05
IJR,2025-01-07,114.15999603271484,115.85220726422057,113.52665408232784,115.36730648502493,3894100,-0.007399801349662782
