ticker,Date,close,high,low,open,volume,ret_1d
,,voo,voo,voo,voo,voo,
VOO,2024-11-21,538.8107299804688,540.2228247257576,533.2807839744505,538.751483357283,4530600,
VOO,2024-11-22,540.6177978515625,541.1905554065108,538.5441057084965,538.9884855309352,5574600,0.0033538082494370958
VOO,2024-11-25,542.3557739257812,545.466372381306,540.3512129098483,544.3011485886174,4305000,0.0032147962592528057
VOO,2024-11-26,545.3972778320312,545.9009043082297,542.9680455291136,543.6099342284331,4438600,0.005607949712113092
VOO,2024-11-27,543.6592407226562,545.4663531077864,542.2372615176943,545.1305820676117,3312200,-0.0031867359446379195
VOO,2024-11-29,546.5230102539062,547.7573652051205,544.1727936050952,544.3900111463147,3988700,0.005267581817322453
VOO,2024-12-02,548.0634765625,548.6164651634787,546.9574993605429,547.4215878867047,5441000,0.002818666880792575
VOO,2024-12-03,548.1918334960938,548.4781821329937,546.8586940518529,547.8560624465949,4202900,0.00023420085278957892
VOO,2024-12-04,551.6480102539062,551.8849967421668,549.2088937245536,549.860666838503,5490300,0.006304684868745136
VOO,2024-12-05,550.729736328125,552.4084109507289,550.4828653223018,551.6382047536065,3021600,-0.0016646011745036216
VOO,2024-12-06,551.8257446289062,552.9514907081744,551.0950162069635,551.4800891109385,5134900,0.001990101911127251
VOO,2024-12-09,548.9522094726562,551.8751838398651,548.4288742884082,551.7172129176132,4412300,-0.005207323478868098
VOO,2024-12-10,547.3919677734375,549.9100396669991,546.6414703652031,549.6138065509155,4110100,-0.002842217723684093
VOO,2024-12-11,551.5394287109375,552.3886504261918,549.6927783111023,549.9495337764666,3514400,0.00757676615966818
VOO,2024-12-12,548.6954956054688,551.2135676910883,548.6658421559815,550.6901722533919,4048600,-0.005156355026358916
VOO,2024-12-13,548.6559448242188,551.1740168508693,547.2636189694196,550.5321884439711,4666900,-7.208147609516491e-05
VOO,2024-12-16,550.8086547851562,551.8060232253194,549.4558065855006,550.1569418927533,22846800,0.003923606371616373
VOO,2024-12-17,548.4979248046875,549.4261620485288,547.3524097695308,548.5176334975474,6110900,-0.004195159172598828
VOO,2024-12-18,532.39208984375,550.5519334185645,531.7897391235865,548.3498033142406,24584900,-0.029363529436638336
VOO,2024-12-19,532.1946411132812,538.2775161681491,531.9082924446097,536.8851902167743,16792100,-0.0003708708942814498
VOO,2024-12-20,538.2182006835938,542.6618782131615,529.1432212734717,529.8937186774184,9389400,0.011318339391227283
VOO,2024-12-23,542.0709228515625,542.2393155352122,535.2651980091056,538.2272162448799,7063400,0.0071582903793951935
VOO,2024-12-24,547.648193359375,547.7274618628848,542.417560482475,542.9327150590597,3439300,0.010288820655558029
VOO,2024-12-26,547.6382446289062,548.7873657726866,544.7752671935997,546.0433213176387,4492000,-1.8166280085218922e-05
VOO,2024-12-27,541.9619140625,544.4781298085959,538.1182078272647,544.2304686360378,7077100,-0.01036510985505168
VOO,2024-12-30,535.9287719726562,538.9998062790272,532.3723919873809,535.50280208255,6505100,-0.011132040708580093
VOO,2024-12-31,533.769287109375,537.9894433536537,532.3725046376134,537.3752484552442,6040800,-0.00402942513299398
VOO,2025-01-02,532.431884765625,538.4549605836328,528.7961754382533,536.9492218612057,7142700,-0.0025055812989778214
VOO,2025-01-03,539.3069458007812,539.7824358614663,534.1555817748168,535.1363102570538,6416300,0.012912564464809595
VOO,2025-01-06,542.4473266601562,546.2712006979881,540.7136984318789,543.1507061655814,5983400,0.005822993536106047
VOO,2025-01-07,536.3449096679688,544.4582920168451,534.512241195379,544.1809429477667,5383200,-0.011249787200095618
VOO,2025-01-08,537.068115234375,537.9200551381143,533.0461002977647,536.2557793502914,4317000,0.0013483964392502212
VOO,2025-01-10,528.895263671875,533.7097819498554,527.0229308534998,533.670177932674,7935200,-0.015217532619551277
VOO,2025-01-13,529.5787963867188,529.9056655638593,524.0708149417289,524.4472647191757,5621000,0.0012923782113272164
VOO,2025-01-14,530.25244140625,532.8776133332868,526.8347054232074,532.2931668757532,8820000,0.0012720392586098583
VOO,2025-01-15,539.9508666992188,541.0207798755724,536.6916674935114,537.7615806698651,5307300,0.01829020393993508
VOO,2025-01-16,539.1484985351562,541.3972815056834,538.3064746685301,541.2387444829709,3632800,-0.001486002178249013
VOO,2025-01-17,544.3196411132812,545.9640846581365,542.5562645812315,543.7846542954381,6558700,0.00959131406685687
VOO,2025-01-21,549.2728271484375,549.2728271484375,545.3498527620206,547.1528331912459,5301700,0.009099774582863818
VOO,2025-01-22,552.3933715820312,553.7010298297192,551.5215994169059,551.9773177418157,4780000,0.005681228488571222
VOO,2025-01-23,555.4544677734375,555.4544677734375,551.5909294498167,551.8286744917348,6217900,0.00554151506677103
VOO,2025-01-24,553.7802734375,556.4054454718708,552.799544911865,555.5139015686348,3612100,-0.0030140982439993413
VOO,2025-01-27,546.0730590820312,546.2315960940881,541.7142586769353,541.8132989613551,7617400,-0.013917459189413672
VOO,2025-01-28,550.6498413085938,551.4424054528698,544.0818620031212,547.1330646589499,4164700,0.008381263551540563
VOO,2025-01-29,548.2326049804688,550.3030788119072,545.815429722477,549.9761491618593,4174500,-0.004389788476794165
VOO,2025-01-30,551.0956420898438,552.5618373816156,547.2123317424458,550.1743497618827,4296500,0.005222303605012746
VOO,2025-01-31,548.1534423828125,555.6427138088301,547.5392475131138,553.393931017549,6233900,-0.005338818677414925
