date,symbol,price
2024-11-21,VTI,291.38079833984375
2024-11-22,VTI,292.8226623535156
2024-11-25,VTI,294.2546081542969
2024-11-26,VTI,295.3310546875
2024-11-27,VTI,294.49163818359375
2024-11-29,VTI,296.1309814453125
2024-12-02,VTI,296.6938781738281
2024-12-03,VTI,296.6938781738281
2024-12-04,VTI,298.68878173828125
2024-12-05,VTI,297.8592224121094
2024-12-06,VTI,298.68878173828125
2024-12-09,VTI,296.78277587890625
2024-12-10,VTI,295.6668395996094
2024-12-11,VTI,298.0468444824219
2024-12-12,VTI,296.3482666015625
2024-12-13,VTI,296.2001037597656
2024-12-16,VTI,297.4049377441406
2024-12-17,VTI,295.9335021972656
2024-12-18,VTI,286.77874755859375
2024-12-19,VTI,286.37384033203125
2024-12-20,VTI,289.6328430175781
2024-12-23,VTI,291.2784423828125
2024-12-24,VTI,294.36956787109375
2024-12-26,VTI,294.5379943847656
2024-12-27,VTI,291.3478088378906
2024-12-30,VTI,288.1278991699219
2024-12-31,VTI,287.1272277832031
2025-01-02,VTI,286.58233642578125
2025-01-03,VTI,290.3471374511719
2025-01-06,VTI,291.9719543457031
2025-01-07,VTI,288.7124328613281
2025-01-08,VTI,288.9798889160156
2025-01-10,VTI,284.6404724121094
2025-01-13,VTI,285.1061096191406
2025-01-14,VTI,285.7500915527344
2025-01-15,VTI,290.9911193847656
2025-01-16,VTI,290.77313232421875
2025-01-17,VTI,293.45806884765625
2025-01-21,VTI,296.3708801269531
2025-01-22,VTI,297.8173522949219
2025-01-23,VTI,299.3827209472656
2025-01-24,VTI,298.5108642578125
2025-01-27,VTI,294.3497619628906
2025-01-28,VTI,296.8761291503906
2025-01-29,VTI,295.6080017089844
2025-01-30,VTI,297.46063232421875
2025-01-31,VTI,295.83587646484375
2025-02-03,VTI,293.6760559082031
2025-02-04,VTI,295.80615234375
2025-02-05,VTI,297.17340087890625
2025-02-06,VTI,297.9065246582031
2025-02-07,VTI,295.2414245605469
2025-02-10,VTI,297.13372802734375
2025-02-11,VTI,296.9752197265625
2025-02-12,VTI,295.994384765625
2025-02-13,VTI,299.08551025390625
2025-02-14,VTI,299.0458984375
2025-02-18,VTI,299.88800048828125
2025-02-19,VTI,300.31402587890625
2025-02-20,VTI,298.6990966796875
2025-02-21,VTI,293.1806640625
2025-02-24,VTI,291.6846618652344
2025-02-25,VTI,290.2381591796875
2025-02-26,VTI,290.33721923828125
2025-02-27,VTI,285.8392639160156
2025-02-28,VTI,290.248046875
2025-03-03,VTI,285.04669189453125
2025-03-04,VTI,281.4898986816406
2025-03-05,VTI,284.69000244140625
2025-03-06,VTI,279.3994445800781
2025-03-07,VTI,280.71710205078125
2025-03-10,VTI,273.068603515625
2025-03-11,VTI,271.1564636230469
2025-03-12,VTI,272.4939270019531
2025-03-13,VTI,268.669677734375
2025-03-14,VTI,274.4258728027344
2025-03-17,VTI,276.6947326660156
2025-03-18,VTI,273.7125549316406
2025-03-19,VTI,276.8235168457031
2025-03-20,VTI,276.15972900390625
2025-03-21,VTI,276.2687072753906
2025-03-24,VTI,281.3809509277344
2025-03-25,VTI,281.8564453125
2025-03-26,VTI,278.55731201171875
2025-03-27,VTI,277.3791198730469
2025-03-28,VTI,271.8512268066406
2025-03-31,VTI,273.2530822753906
2025-04-01,VTI,274.177734375
2025-04-02,VTI,276.34515380859375
2025-04-03,VTI,262.4359130859375
2025-04-04,VTI,247.0353546142578
2025-04-07,VTI,246.23004150390625
2025-04-08,VTI,242.34262084960935
2025-04-09,VTI,266.9298400878906
2025-04-10,VTI,255.94363403320312
2025-04-11,VTI,260.2287292480469
2025-04-14,VTI,262.62481689453125
2025-04-15,VTI,262.16748046875
2025-04-16,VTI,256.7191162109375
2025-04-17,VTI,257.2560119628906
