date,symbol,price
2024-11-21,QQQ,502.2693176269531
2024-11-22,QQQ,503.0749206542969
2024-11-25,QQQ,503.8706359863281
2024-11-26,QQQ,506.5760498046875
2024-11-27,QQQ,502.5875549316406
2024-11-29,QQQ,507.0036926269531
2024-12-02,QQQ,512.5238647460938
2024-12-03,QQQ,514.095458984375
2024-12-04,QQQ,520.451171875
2024-12-05,QQQ,519.0089111328125
2024-12-06,QQQ,523.65380859375
2024-12-09,QQQ,519.575927734375
2024-12-10,QQQ,517.8053588867188
2024-12-11,QQQ,527.0753784179688
2024-12-12,QQQ,523.673828125
2024-12-13,QQQ,527.68212890625
2024-12-16,QQQ,535.281005859375
2024-12-17,QQQ,532.9237670898438
2024-12-18,QQQ,513.6975708007812
2024-12-19,QQQ,511.4099731445313
2024-12-20,QQQ,515.8757934570312
2024-12-23,QQQ,520.90185546875
2024-12-24,QQQ,527.9651489257812
2024-12-26,QQQ,527.6065063476562
2024-12-27,QQQ,520.5929565429688
2024-12-30,QQQ,513.669189453125
2024-12-31,QQQ,509.3056640625
2025-01-02,QQQ,508.3094482421875
2025-01-03,QQQ,516.6280517578125
2025-01-06,QQQ,522.5655517578125
2025-01-07,QQQ,513.2407836914062
2025-01-08,QQQ,513.3304443359375
2025-01-10,QQQ,505.2808837890625
2025-01-13,QQQ,503.6570129394531
2025-01-14,QQQ,503.1788024902344
2025-01-15,QQQ,514.7550659179688
2025-01-16,QQQ,511.1487426757813
2025-01-17,QQQ,519.7760620117188
2025-01-21,QQQ,522.8245849609375
2025-01-22,QQQ,529.5093994140625
2025-01-23,QQQ,530.6350708007812
2025-01-24,QQQ,527.6363525390625
2025-01-27,QQQ,512.2745361328125
2025-01-28,QQQ,519.8458251953125
2025-01-29,QQQ,518.8695678710938
2025-01-30,QQQ,521.0811157226562
2025-01-31,QQQ,520.323974609375
2025-02-03,QQQ,516.1597900390625
2025-02-04,QQQ,522.4957885742188
2025-02-05,QQQ,524.8668823242188
2025-02-06,QQQ,527.6065063476562
2025-02-07,QQQ,520.95166015625
2025-02-10,QQQ,527.2578735351562
2025-02-11,QQQ,526.0025634765625
2025-02-12,QQQ,526.3114624023438
2025-02-13,QQQ,533.8828125
2025-02-14,QQQ,536.1243896484375
2025-02-18,QQQ,537.3397216796875
2025-02-19,QQQ,537.4892578125
2025-02-20,QQQ,535.207763671875
2025-02-21,QQQ,524.099853515625
2025-02-24,QQQ,517.9131469726562
2025-02-25,QQQ,511.3877868652344
2025-02-26,QQQ,512.6231079101562
2025-02-27,QQQ,498.3869018554687
2025-02-28,QQQ,506.2572021484375
2025-03-03,QQQ,495.1790466308594
2025-03-04,QQQ,493.6846923828125
2025-03-05,QQQ,500.120361328125
2025-03-06,QQQ,486.3623962402344
2025-03-07,QQQ,489.9388732910156
2025-03-10,QQQ,470.95062255859375
