date,symbol,price
2024-11-21,IJR,120.57722473144533
2024-11-22,IJR,122.6067886352539
2024-11-25,IJR,124.89124298095705
2024-11-26,IJR,123.68529510498048
2024-11-27,IJR,123.75392150878906
2024-11-29,IJR,124.057861328125
2024-12-02,IJR,124.3520050048828
2024-12-03,IJR,123.43035888671876
2024-12-04,IJR,123.86177825927734
2024-12-05,IJR,122.07733917236328
2024-12-06,IJR,122.0871353149414
2024-12-09,IJR,121.9400634765625
2024-12-10,IJR,121.5086669921875
2024-12-11,IJR,122.23419952392578
2024-12-12,IJR,121.25373077392578
2024-12-13,IJR,120.4301528930664
2024-12-16,IJR,120.8615493774414
2024-12-17,IJR,119.15746307373048
2024-12-18,IJR,114.30843353271484
2024-12-19,IJR,113.8927993774414
2024-12-20,IJR,114.62510681152344
2024-12-23,IJR,114.42718505859376
2024-12-24,IJR,115.38710021972656
2024-12-26,IJR,116.16888427734376
2024-12-27,IJR,114.59542846679688
2024-12-30,IJR,113.77405548095705
2024-12-31,IJR,114.02144622802734
2025-01-02,IJR,113.77405548095705
2025-01-03,IJR,115.0209503173828
2025-01-06,IJR,115.01105499267578
2025-01-07,IJR,114.15999603271484
2025-01-08,IJR,114.18968963623048
2025-01-10,IJR,111.90371704101562
2025-01-13,IJR,112.3589324951172
2025-01-14,IJR,113.8927993774414
2025-01-15,IJR,115.8126220703125
2025-01-16,IJR,116.14909362792967
2025-01-17,IJR,116.76263427734376
2025-01-21,IJR,118.71215057373048
2025-01-22,IJR,117.68296813964844
2025-01-23,IJR,118.0788116455078
2025-01-24,IJR,117.8313980102539
2025-01-27,IJR,117.5345230102539
2025-01-28,IJR,117.46524810791016
2025-01-29,IJR,117.08920288085938
2025-01-30,IJR,118.1975555419922
2025-01-31,IJR,117.2079620361328
2025-02-03,IJR,115.65428924560548
2025-02-04,IJR,116.9506607055664
2025-02-05,IJR,117.9996337890625
2025-02-06,IJR,117.57410430908205
2025-02-07,IJR,115.93138122558594
2025-02-10,IJR,116.06002044677734
2025-02-11,IJR,115.85221099853516
2025-02-12,IJR,114.39749145507812
2025-02-13,IJR,115.96106719970705
2025-02-14,IJR,115.87200164794922
2025-02-18,IJR,116.59440612792967
2025-02-19,IJR,116.14909362792967
2025-02-20,IJR,114.83292388916016
2025-02-21,IJR,111.7849578857422
2025-02-24,IJR,111.36933135986328
2025-02-25,IJR,111.47818756103516
2025-02-26,IJR,111.25057983398438
2025-02-27,IJR,109.68701171875
2025-02-28,IJR,110.62713623046876
2025-03-03,IJR,108.0541763305664
2025-03-04,IJR,106.41144561767578
2025-03-05,IJR,107.5197982788086
2025-03-06,IJR,106.14424896240234
2025-03-07,IJR,106.68852996826172
2025-03-10,IJR,104.18485260009766
2025-03-11,IJR,103.61087799072266
2025-03-12,IJR,103.15567016601562
2025-03-13,IJR,101.4238739013672
2025-03-14,IJR,103.90776824951172
2025-03-17,IJR,105.01611328125
2025-03-18,IJR,104.36396026611328
2025-03-19,IJR,105.77347564697266
2025-03-20,IJR,105.26724243164062
2025-03-21,IJR,104.59226989746094
2025-03-24,IJR,107.21278381347656
2025-03-25,IJR,106.5675811767578
2025-03-26,IJR,106.00177764892578
2025-03-27,IJR,105.52532196044922
2025-03-28,IJR,103.24230194091795
2025-03-31,IJR,103.79816436767578
2025-04-01,IJR,104.02647399902344
2025-04-02,IJR,105.56503295898438
2025-04-03,IJR,98.1700210571289
2025-04-04,IJR,93.93153381347656
2025-04-07,IJR,92.6411361694336
2025-04-08,IJR,89.89157104492188
2025-04-09,IJR,97.83252716064452
2025-04-10,IJR,93.5245590209961
2025-04-11,IJR,94.7057876586914
2025-04-14,IJR,95.7480239868164
2025-04-15,IJR,95.5197296142578
2025-04-16,IJR,94.57673645019533
2025-04-17,IJR,95.5892105102539
2025-04-21,IJR,93.68338012695312
2025-04-22,IJR,95.9465560913086
2025-04-23,IJR,97.16747283935548
2025-04-24,IJR,99.14278411865234
2025-04-25,IJR,99.1030731201172
2025-04-28,IJR,99.45050048828124
2025-04-29,IJR,100.09569549560548
2025-04-30,IJR,99.39093780517578
2025-05-01,IJR,100.00636291503906
2025-05-02,IJR,102.26953125
2025-05-05,IJR,101.53499603271484
2025-05-06,IJR,100.89971923828124
2025-05-07,IJR,101.03868865966795
2025-05-08,IJR,102.8849639892578
2025-05-09,IJR,102.85518646240234
2025-05-12,IJR,106.72638702392578
2025-05-13,IJR,107.2227020263672
2025-05-14,IJR,106.13082122802734
2025-05-15,IJR,106.86536407470705
2025-05-16,IJR,107.6892318725586
2025-05-19,IJR,106.99440002441406
2025-05-20,IJR,106.81572723388672
2025-05-21,IJR,103.8676528930664
2025-05-22,IJR,103.76839447021484
2025-05-23,IJR,103.22245025634766
2025-05-27,IJR,105.84296417236328
2025-05-28,IJR,104.5724105834961
2025-05-29,IJR,105.0587921142578
2025-05-30,IJR,104.59226989746094
2025-06-02,IJR,104.23492431640624
2025-06-03,IJR,105.91243743896484
2025-06-04,IJR,105.63450622558594
2025-06-05,IJR,105.604736328125
2025-06-06,IJR,106.87528228759766
2025-06-09,IJR,108.0167999267578
2025-06-10,IJR,108.67192840576172
2025-06-11,IJR,108.0167999267578
2025-06-12,IJR,107.5998992919922
2025-06-13,IJR,105.5154037475586
2025-06-16,IJR,106.57940673828124
2025-06-17,IJR,105.45362854003906
2025-06-18,IJR,105.8919906616211
2025-06-20,IJR,105.74254608154295
2025-06-23,IJR,107.1572265625
2025-06-24,IJR,108.23318481445312
2025-06-25,IJR,107.1572265625
2025-06-26,IJR,108.7512435913086
2025-06-27,IJR,109.08000183105467
2025-06-30,IJR,108.88075256347656
2025-07-01,IJR,110.54449462890624
2025-07-02,IJR,112.04884338378906
2025-07-03,IJR,112.65656280517578
2025-07-07,IJR,110.7437515258789
2025-07-08,IJR,111.60052490234376
2025-07-09,IJR,112.52704620361328
2025-07-10,IJR,113.64285278320312
2025-07-11,IJR,112.39753723144533
2025-07-14,IJR,112.6964111328125
2025-07-15,IJR,110.40502166748048
2025-07-16,IJR,111.14225006103516
2025-07-17,IJR,112.44734954833984
2025-07-18,IJR,111.45109558105467
2025-07-21,IJR,111.19206237792967
2025-07-22,IJR,112.40750122070312
2025-07-23,IJR,113.7225570678711
2025-07-24,IJR,111.89940643310548
2025-07-25,IJR,112.48719787597656
2025-07-28,IJR,112.37760925292967
2025-07-29,IJR,111.92929077148438
2025-07-30,IJR,111.14225006103516
2025-07-31,IJR,109.8670425415039
2025-08-01,IJR,108.0538558959961
2025-08-04,IJR,109.87700653076172
2025-08-05,IJR,110.40502166748048
2025-08-06,IJR,110.39505767822266
2025-08-07,IJR,110.1758804321289
2025-08-08,IJR,110.47476196289062
2025-08-11,IJR,110.40502166748048
2025-08-12,IJR,113.95169067382812
2025-08-13,IJR,116.36263275146484
2025-08-14,IJR,114.71881103515624
2025-08-15,IJR,114.01146697998048
2025-08-18,IJR,114.18083190917967
2025-08-19,IJR,114.32030487060548
2025-08-20,IJR,113.7823257446289
2025-08-21,IJR,113.69266510009766
2025-08-22,IJR,118.05626678466795
2025-08-25,IJR,116.9404525756836
2025-08-26,IJR,117.33895874023438
2025-08-27,IJR,118.31529235839844
2025-08-28,IJR,118.08615112304688
2025-08-29,IJR,117.59798431396484
2025-09-02,IJR,116.71131896972656
2025-09-03,IJR,116.57184600830078
2025-09-04,IJR,118.31529235839844
2025-09-05,IJR,118.68390655517578
2025-09-08,IJR,118.50457763671876
2025-09-09,IJR,117.46847534179688
2025-09-10,IJR,117.1795654296875
2025-09-11,IJR,119.6502685546875
2025-09-12,IJR,118.01641082763672
2025-09-15,IJR,118.1259994506836
2025-09-16,IJR,117.9800033569336
2025-09-17,IJR,117.9499969482422
2025-09-18,IJR,120.62999725341795
2025-09-19,IJR,119.26000213623048
2025-09-22,IJR,119.56999969482422
2025-09-23,IJR,119.33000183105467
2025-09-24,IJR,118.33999633789062
2025-09-25,IJR,117.30999755859376
2025-09-26,IJR,118.47000122070312
2025-09-29,IJR,118.58000183105467
2025-09-30,IJR,118.83000183105467
2025-10-01,IJR,119.18000030517578
2025-10-02,IJR,119.54000091552734
2025-10-03,IJR,120.08000183105467
2025-10-06,IJR,119.7699966430664
2025-10-07,IJR,118.23999786376952
2025-10-08,IJR,119.31999969482422
2025-10-09,IJR,117.9499969482422
2025-10-10,IJR,114.2699966430664
2025-10-13,IJR,116.58000183105467
2025-10-14,IJR,118.3499984741211
2025-10-15,IJR,119.3499984741211
2025-10-16,IJR,117.79000091552734
2025-10-17,IJR,117.58999633789062
2025-10-20,IJR,119.4499969482422
2025-10-21,IJR,119.79000091552734
2025-10-22,IJR,118.91000366210938
2025-10-23,IJR,120.08999633789062
2025-10-24,IJR,121.13999938964844
2025-10-27,IJR,121.1500015258789
2025-10-28,IJR,120.4499969482422
2025-10-29,IJR,118.88999938964844
2025-10-30,IJR,117.5999984741211
2025-10-31,IJR,117.8000030517578
2025-11-03,IJR,118.04000091552734
2025-11-04,IJR,116.5999984741211
2025-11-05,IJR,118.5500030517578
2025-11-06,IJR,116.94000244140624
2025-11-07,IJR,117.9499969482422
2025-11-10,IJR,119.11000061035156
2025-11-11,IJR,119.58999633789062
2025-11-12,IJR,119.5
2025-11-13,IJR,116.9499969482422
2025-11-14,IJR,116.8499984741211
2025-11-17,IJR,114.3000030517578
2025-11-18,IJR,114.20999908447266
2025-11-19,IJR,114.08000183105467
2025-11-20,IJR,112.0500030517578
