date,symbol,price
2024-11-21,SPY,586.5391235351562
2024-11-22,SPY,588.3570556640625
2024-11-25,SPY,590.3528442382812
2024-11-26,SPY,593.435302734375
2024-11-27,SPY,591.6370849609375
2024-11-29,SPY,595.3124389648438
2024-12-02,SPY,596.3795776367188
2024-12-03,SPY,596.6561279296875
2024-12-04,SPY,600.361083984375
2024-12-05,SPY,599.3731079101562
2024-12-06,SPY,600.50927734375
2024-12-09,SPY,597.4168701171875
2024-12-10,SPY,595.5594482421875
2024-12-11,SPY,600.1635131835938
2024-12-12,SPY,597.071044921875
2024-12-13,SPY,596.9525146484375
2024-12-16,SPY,599.5015258789062
2024-12-17,SPY,597.031494140625
2024-12-18,SPY,579.2379150390625
2024-12-19,SPY,579.0599975585938
2024-12-20,SPY,586.01513671875
2024-12-23,SPY,589.5243530273438
2024-12-24,SPY,596.076904296875
2024-12-26,SPY,596.11669921875
2024-12-27,SPY,589.8416137695312
2024-12-30,SPY,583.110595703125
2024-12-31,SPY,580.9891967773438
2025-01-02,SPY,579.5616455078125
2025-01-03,SPY,586.8081665039062
2025-01-06,SPY,590.1885375976562
2025-01-07,SPY,583.5169677734375
2025-01-08,SPY,584.3694458007812
2025-01-10,SPY,575.4476928710938
2025-01-13,SPY,576.3399047851562
2025-01-14,SPY,577.1329345703125
2025-01-15,SPY,587.6309814453125
2025-01-16,SPY,586.5008544921875
2025-01-17,SPY,592.3892822265625
2025-01-21,SPY,597.8117065429688
2025-01-22,SPY,601.1723022460938
2025-01-23,SPY,604.45361328125
2025-01-24,SPY,602.6890258789062
2025-01-27,SPY,594.1637573242188
2025-01-28,SPY,599.26904296875
2025-01-29,SPY,596.58251953125
2025-01-30,SPY,599.7844848632812
2025-01-31,SPY,596.5924682617188
2025-02-03,SPY,592.57763671875
2025-02-04,SPY,596.5528564453125
2025-02-05,SPY,598.9715576171875
2025-02-06,SPY,601.0533447265625
2025-02-07,SPY,595.551513671875
2025-02-10,SPY,599.5961303710938
2025-02-11,SPY,600.0521850585938
2025-02-12,SPY,598.1190795898438
2025-02-13,SPY,604.4337768554688
2025-02-14,SPY,604.4039916992188
2025-02-18,SPY,606.178466796875
2025-02-19,SPY,607.60595703125
2025-02-20,SPY,605.0780639648438
2025-02-21,SPY,594.728759765625
2025-02-24,SPY,592.0225219726562
2025-02-25,SPY,589.0782470703125
2025-02-26,SPY,589.3756713867188
2025-02-27,SPY,579.968017578125
2025-02-28,SPY,589.018798828125
2025-03-03,SPY,578.69921875
2025-03-04,SPY,571.8492431640625
2025-03-05,SPY,577.9954223632812
2025-03-06,SPY,567.7352905273438
2025-03-07,SPY,570.9173583984375
2025-03-10,SPY,555.710693359375
2025-03-11,SPY,551.0911254882812
2025-03-12,SPY,554.0155029296875
2025-03-13,SPY,546.6302490234375
2025-03-14,SPY,557.9212646484375
2025-03-17,SPY,562.2235717773438
2025-03-18,SPY,556.1468505859375
2025-03-19,SPY,562.2037353515625
2025-03-20,SPY,560.5780029296875
2025-03-21,SPY,560.762939453125
2025-03-24,SPY,570.8053588867188
2025-03-25,SPY,572.177490234375
2025-03-26,SPY,565.3466796875
2025-03-27,SPY,563.8452758789062
2025-03-28,SPY,552.4904174804688
2025-03-31,SPY,556.1991577148438
2025-04-01,SPY,557.7700805664062
2025-04-02,SPY,561.2998657226562
2025-04-03,SPY,533.6386108398438
2025-04-04,SPY,502.3977966308594
2025-04-07,SPY,501.5029296875
2025-04-08,SPY,493.64801025390625
2025-04-09,SPY,545.4906005859375
2025-04-10,SPY,521.5877685546875
2025-04-11,SPY,530.8943481445312
2025-04-14,SPY,536.0447387695312
2025-04-15,SPY,534.5433349609375
2025-04-16,SPY,522.6615600585938
2025-04-17,SPY,523.4072265625
2025-04-21,SPY,510.94873046875
2025-04-22,SPY,524.2424926757812
2025-04-23,SPY,532.3658447265625
2025-04-24,SPY,543.5715942382812
2025-04-25,SPY,547.4990234375
2025-04-28,SPY,547.7078247070312
2025-04-29,SPY,551.1580200195312
2025-04-30,SPY,551.3768310546875
2025-05-01,SPY,555.2843627929688
2025-05-02,SPY,563.527099609375
2025-05-05,SPY,560.295654296875
2025-05-06,SPY,555.6124877929688
2025-05-07,SPY,557.9490966796875
2025-05-08,SPY,561.8367919921875
2025-05-09,SPY,561.1209716796875
2025-05-12,SPY,579.66455078125
2025-05-13,SPY,583.4925537109375
2025-05-14,SPY,584.23828125
2025-05-15,SPY,587.0919189453125
2025-05-16,SPY,590.8106079101562
2025-05-19,SPY,591.4568481445312
2025-05-20,SPY,589.46826171875
2025-05-21,SPY,579.5352783203125
2025-05-22,SPY,579.7639770507812
2025-05-23,SPY,575.806640625
2025-05-27,SPY,587.7780151367188
2025-05-28,SPY,584.37744140625
2025-05-29,SPY,586.6842651367188
2025-05-30,SPY,586.0280151367188
2025-06-02,SPY,589.3291015625
2025-06-03,SPY,592.6898193359375
2025-06-04,SPY,592.5307006835938
2025-06-05,SPY,589.6671142578125
2025-06-06,SPY,595.722412109375
2025-06-09,SPY,596.2593383789062
2025-06-10,SPY,599.6399536132812
2025-06-11,SPY,597.9297485351562
2025-06-12,SPY,600.3060913085938
2025-06-13,SPY,593.5946044921875
2025-06-16,SPY,599.2421875
2025-06-17,SPY,594.12158203125
2025-06-18,SPY,594.0321044921875
2025-06-20,SPY,592.636962890625
2025-06-23,SPY,598.49072265625
2025-06-24,SPY,605.1024169921875
